"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"229",9,8,0.01,0,2.59448257549078e-06,8.90999999999995e-16
"230",9,9,0.01,0,0,1e-18
"231",9,0,0.03,0.760231058654565,0.760231058654565,0.760231058654565
"232",9,1,0.03,0.0511427151889813,0.0651044606435259,0.211610707048178
"233",9,2,0.03,0.0867963567670475,0.0924716876086939,0.0261786441709086
"234",9,3,0.03,0.0637066077154821,0.0571585179273382,0.00188918050717897
"235",9,4,0.03,0.0296594180444303,0.0199631620564209,8.76423946629422e-05
"236",9,5,0.03,0.00726499892276668,0.00439496469486182,2.710589525658e-06
"237",9,6,0.03,0.00095907576538174,0.000632990005151948,5.58884438280001e-08
"238",9,7,0.03,0.000239768941345435,3.59653412018152e-05,7.40789388000001e-10
"239",9,8,0.03,0,7.19306824036305e-06,5.72775300000002e-12
"240",9,9,0.03,0,0,1.9683e-14
"241",9,0,0.05,0.630249409724609,0.630249409724609,0.630249409724609
"242",9,1,0.05,0.0669618318988733,0.100398377777477,0.298539194080078
"243",9,2,0.05,0.126639577169321,0.14260171015151,0.0628503566484375
"244",9,3,0.05,0.10667304529445,0.0881448432157504,0.0077184648515625
"245",9,4,0.05,0.051099531576059,0.030785434146329,0.000609352488281252
"246",9,5,0.05,0.015159774201291,0.00677752831974792,3.20711835937501e-05
"247",9,6,0.05,0.00292102966317559,0.000976141558327032,1.1253046875e-06
"248",9,7,0.05,0.000258825413192774,5.54625885413086e-05,2.53828125000001e-08
"249",9,8,0.05,3.69750590275391e-05,1.10925177082617e-05,3.33984375000001e-10
"250",9,9,0.05,0,0,1.953125e-12
"251",9,0,0.1,0.387420489,0.387420489,0.387420489
"252",9,1,0.1,0.0726519300046,0.16633371462183,0.387420489
"253",9,2,0.1,0.1772805104834,0.23625354000737,0.172186884
"254",9,3,0.1,0.1887970052902,0.14603282962729,0.044641044
"255",9,4,0.1,0.1171864604543,0.05100337008586,0.007440174
"256",9,5,0.1,0.0443507565964,0.01122858243663,0.000826686
"257",9,6,0.1,0.0105976255403,0.00161720990904,6.12359999999999e-05
"258",9,7,0.1,0.0016539646797,9.188692665e-05,2.916e-06
"259",9,8,0.1,6.12579511e-05,1.837738533e-05,8.10000000000002e-08
"260",9,9,0.1,0,0,1e-09
"261",10,0,0.001,0.990044880209748,0.990044880209748,0.990044880209748
"262",10,1,0.001,0.00230958779133841,0.00233238501565809,0.00991035916125874
"263",10,2,0.001,0.00356691942084721,0.00364596307198181,4.46412574831476e-05
"264",10,3,0.001,0.00261919201681524,0.0025818603176018,1.19162515804197e-07
"265",10,4,0.001,0.00113388814410968,0.00106260948641147,2.08743145803148e-10
"266",10,5,0.001,0.000262815162462647,0.000279241110116562,2.50742517481259e-13
"267",10,6,0.001,5.77396947834602e-05,4.77845749932085e-05,2.09161259160211e-16
"268",10,7,0.001,4.97755989512588e-06,5.17666229093092e-06,1.1964035988e-19
