"","pool","prevalence","above.llod","limit","pos_real","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn_real","tp_real","fn_real","fp_real","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"201",14,0.01,0.15,35,1.50802168047684,0.14,13.4266172315681,2.5592118002634,0.959044087969149,0.182800842875957,0.000638209692065633,0.887615516540577,0.111746273767358,0,0.88818236313305,0.848523569395608,0.868745812768978,0.111372271447386,0.0198819157836357,0,0.88818236313305,0.881842311053298,0.894295340857867
"202",14,0.05,0.05,35,1.76028403345902,0.7,14.5371904830019,7.85909350756209,1.03837074878585,0.561363821968721,0.00011033025322235,0.966942177357281,0.0329474923894963,0,0.967048872104219,0.956297722282493,0.48767497911553,0.48993525054015,0.0223897703443207,0,0.967048872104219,0.963361349294545,0.970460992486778
"203",14,0.05,0.1,35,1.69504791246137,0.7,14.0554208785201,7.58456339916287,1.00395863418,0.541754528511634,0.000104877581635633,0.932530062751435,0.0673650596669296,0,0.932627874507479,0.918022618280674,0.48767497911553,0.470325957083062,0.0419990638014082,0,0.932627874507479,0.927537704240513,0.937464286563523
"204",14,0.05,0.15,35,1.80783216625062,0.7,13.8302808724903,7.36056363440703,0.987877205177877,0.525754545314788,8.94159393847409e-05,0.916448633749306,0.0834619503113095,0,0.916530586192645,0.886792476193872,0.48767497911553,0.454325973886217,0.0579990469982538,0,0.916530586192645,0.910937378828953,0.921879778995072
"205",14,0.1,0.05,35,2.19692431057117,1.4,14.6616928558198,11.4596338179119,1.0472637754157,0.81854527270799,2.7127351914717e-05,0.975835203987129,0.0241376686609568,0,0.975861676530248,0.968731365125226,0.22876792454961,0.747116701279417,0.0241153741709727,0,0.975861676530248,0.97266133777692,0.978780580181941
"206",14,0.1,0.1,35,1.93729125526258,1.4,14.300090692133,11.2215963508092,1.02143504943807,0.801542596486372,6.04100006610988e-05,0.950006478009501,0.0499331119898381,0,0.950063871368598,0.946685243389834,0.22876792454961,0.730114025057799,0.041118050392591,0,0.950063871368598,0.945611908723856,0.954251324831166
"207",14,0.1,0.15,35,2.05039563550858,1.4,14.0475585908684,10.9164865750591,1.00339704220489,0.77974904107565,4.01467218598555e-05,0.931968470776317,0.0679913825018237,0,0.932005887757464,0.918427140408323,0.22876792454961,0.708320469647078,0.0629116058033125,0,0.932005887757464,0.926894936034824,0.936863460286907
"208",14,0.15,0.05,35,2.75441514724944,2.1,14.8183162447531,13.3142951177855,1.0584511603395,0.951021079841824,5.4932762170758e-06,0.987022588910933,0.0129719178128497,0,0.987028010928431,0.980341923966567,0.102769669530884,0.879592508413252,0.0176378220558636,0,0.987028010928431,0.984612761612092,0.989153058688484
"209",14,0.15,0.1,35,2.45051927477962,2.1,14.5134629717622,13.0860680259143,1.03667592655444,0.934719144708163,1.32608029252503e-05,0.96524735512587,0.0347393840712054,0,0.96526015525056,0.962172748694553,0.102769669530884,0.863290573279591,0.0339397571895245,0,0.96526015525056,0.961482901692788,0.968763187576765
"210",14,0.15,0.15,35,2.69383239313905,2.1,14.4054165126528,12.8551766444871,1.02895832233235,0.918226903177653,8.4068075328701e-06,0.957529750903775,0.0424618422886923,0,0.957537800739771,0.943791469138514,0.102769669530884,0.846798331749081,0.0504319987200347,0,0.957537800739771,0.953400265687015,0.961406108683492
