pool,pos,above.llod,limit,total.tests,tests.per.sample,tn,tp,fn,fp
9,4,0.25,35,9.9595,1.1066111111111112,0,0.9955,0.0045,0
9,4,0.3,35,9.9208,1.102311111111111,0,0.9912,0.0088,0
9,5,0.05,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,5,0.1,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,5,0.15000000000000002,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,5,0.2,35,9.9964,1.110711111111111,0,0.9996,4e-4,0
9,5,0.25,35,9.9802,1.1089111111111112,0,0.9978,0.0022,0
9,5,0.3,35,9.9622,1.106911111111111,0,0.9958,0.0042,0
9,6,0.05,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,6,0.1,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,6,0.15000000000000002,35,10,1.1111111111111112,0,1,0,0
9,6,0.2,35,9.9973,1.110811111111111,0,0.9997,3.0000000000000003e-4,0
9,6,0.25,35,9.9946,1.1105111111111112,0,0.9994,6e-4,0
9,6,0.3,35,9.9829,1.1092111111111111,0,0.9981,0.0019,0
9,7,0.05,35,10,1.1111111111111112,0,1,0,0
9,7,0.1,35,10,1.1111111111111112,0,1,0,0
9,7,0.15000000000000002,35,10,1.1111111111111112,0,1,0,0
9,7,0.2,35,9.9964,1.110711111111111,0,0.9996,4e-4,0
9,7,0.25,35,9.9946,1.1105111111111112,0,0.9994,6.000000000000001e-4,0
9,7,0.3,35,9.9955,1.110611111111111,0,0.9995,5e-4,0
9,8,0.05,35,10,1.1111111111111112,0,1,0,0
9,8,0.1,35,10,1.1111111111111112,0,1,0,0
9,8,0.15000000000000002,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,8,0.2,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,8,0.25,35,10,1.1111111111111112,0,1,0,0
9,8,0.3,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,9,0.05,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,9,0.1,35,10,1.1111111111111112,0,1,0,0
9,9,0.15000000000000002,35,10,1.1111111111111112,0,1,0,0
9,9,0.2,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,9,0.25,35,9.9973,1.110811111111111,0,0.9997,3.0000000000000003e-4,0
9,9,0.3,35,9.9973,1.110811111111111,0,0.9997,3.0000000000000003e-4,0
10,0,0.05,35,1,0.1,1,0,0,0
10,0,0.1,35,1,0.1,1,0,0,0
10,0,0.15000000000000002,35,1,0.1,1,0,0,0
10,0,0.2,35,1,0.1,1,0,0,0
10,0,0.25,35,1,0.1,1,0,0,0
10,0,0.3,35,1,0.1,1,0,0,0
10,1,0.05,35,10.496,1.0496,0,0.9496,0.0504,0
10,1,0.1,35,10.067,1.0067,0,0.9067,0.0933,0
10,1,0.15000000000000002,35,9.624,0.9624,0,0.86240000000000006,0.1376,0
10,1,0.2,35,9.054,0.9054,0,0.8054,0.1946,0
10,1,0.25,35,8.65,0.865,0,0.765,0.235,0
10,1,0.3,35,8.228,0.8228,0,0.7228,0.2772,0
10,2,0.05,35,10.971,1.0971,0,0.9971,0.0029,0
10,2,0.1,35,10.886,1.0886,0,0.9886,0.0114,0
10,2,0.15000000000000002,35,10.77,1.077,0,0.977,0.023,0
10,2,0.2,35,10.595,1.0595,0,0.9595,0.0405,0
10,2,0.25,35,10.385,1.0385,0,0.9385,0.0615,0
10,2,0.3,35,10.194,1.0194,0,0.9194,0.0806,0
10,3,0.05,35,11,1.1,0,1,0,0
10,3,0.1,35,10.98,1.098,0,0.998,0.002,0
10,3,0.15000000000000002,35,10.953,1.0953,0,0.9953,0.0047,0
10,3,0.2,35,10.909,1.0909,0,0.9909,0.0091,0
10,3,0.25,35,10.847,1.0847,0,0.9847,0.0153,0
10,3,0.3,35,10.713,1.0713,0,0.9713,0.0287,0
10,4,0.05,35,10.999,1.0999,0,0.9999,1e-4,0
10,4,0.1,35,10.996,1.0996000000000001,0,0.9996,4e-4,0
10,4,0.15000000000000002,35,10.988,1.0988,0,0.9988,0.0012000000000000001,0
10,4,0.2,35,10.982,1.0981999999999998,0,0.9982,0.0018,0
10,4,0.25,35,10.944,1.0944,0,0.9944,0.0056,0
10,4,0.3,35,10.91,1.091,0,0.991,0.009,0
10,5,0.05,35,10.999,1.0999,0,0.9999,1e-4,0
10,5,0.1,35,11,1.1,0,1,0,0
10,5,0.15000000000000002,35,10.995,1.0995,0,0.9995,5e-4,0
10,5,0.2,35,10.988,1.0988,0,0.9988,0.0012,0
10,5,0.25,35,10.983,1.0983,0,0.9983,0.0017,0
10,5,0.3,35,10.964,1.0964,0,0.9964,0.0036,0
10,6,0.05,35,10.999,1.0999,0,0.9999,1e-4,0
10,6,0.1,35,11,1.1,0,1,0,0
10,6,0.15000000000000002,35,10.997,1.0997,0,0.9997,3.0000000000000003e-4,0
10,6,0.2,35,10.993,1.0993,0,0.9993,7e-4,0
10,6,0.25,35,10.993,1.0993,0,0.9993,7e-4,0
10,6,0.3,35,10.986,1.0986,0,0.9986,0.0014,0
10,7,0.05,35,10.999,1.0999,0,0.9999,1e-4,0
10,7,0.1,35,10.999,1.0999,0,0.9999,1e-4,0
10,7,0.15000000000000002,35,11,1.1,0,1,0,0
10,7,0.2,35,10.998,1.0997999999999999,0,0.9998,2e-4,0
10,7,0.25,35,10.998,1.0997999999999999,0,0.9998,2e-4,0
10,7,0.3,35,10.993,1.0993,0,0.9993,7e-4,0
10,8,0.05,35,11,1.1,0,1,0,0
10,8,0.1,35,10.999,1.0999,0,0.9999,1e-4,0
10,8,0.15000000000000002,35,11,1.1,0,1,0,0
10,8,0.2,35,10.999,1.0999,0,0.9999,1e-4,0
10,8,0.25,35,11,1.1,0,1,0,0
10,8,0.3,35,10.999,1.0999,0,0.9999,1e-4,0
10,9,0.05,35,10.999,1.0999,0,0.9999,1e-4,0
10,9,0.1,35,10.995,1.0995,0,0.9995,5e-4,0
10,9,0.15000000000000002,35,11,1.1,0,1,0,0
10,9,0.2,35,10.999,1.0999,0,0.9999,1e-4,0
10,9,0.25,35,10.996,1.0996000000000001,0,0.9996,4e-4,0
10,9,0.3,35,10.999,1.0999,0,0.9999,1e-4,0
10,10,0.05,35,10.998,1.0997999999999999,0,0.9998,2e-4,0
10,10,0.1,35,10.997,1.0997,0,0.9997,3.0000000000000003e-4,0
10,10,0.15000000000000002,35,10.999,1.0999,0,0.9999,1e-4,0
10,10,0.2,35,11,1.1,0,1,0,0
10,10,0.25,35,10.999,1.0999,0,0.9999,1e-4,0
10,10,0.3,35,10.997,1.0997,0,0.9997,3.0000000000000003e-4,0
11,0,0.05,35,1,0.09090909090909091,1,0,0,0
11,0,0.1,35,1,0.09090909090909091,1,0,0,0
11,0,0.15000000000000002,35,1,0.09090909090909091,1,0,0,0
11,0,0.2,35,1,0.09090909090909091,1,0,0,0
11,0,0.25,35,1,0.09090909090909091,1,0,0,0
11,0,0.3,35,1,0.09090909090909091,1,0,0,0
11,1,0.05,35,11.4412,1.0401090909090909,0,0.9492,0.0508,0
11,1,0.1,35,10.9055,0.9914090909090909,0,0.9005,0.0995,0
11,1,0.15000000000000002,35,10.3852,0.9441090909090909,0,0.8532,0.1468,0
11,1,0.2,35,9.9474,0.904309090909091,0,0.8134,0.1866,0
11,1,0.25,35,9.3611,0.8510090909090909,0,0.7601,0.2399,0
11,1,0.3,35,8.8837,0.8076090909090908,0,0.7167,0.2833,0
